award_date,grant_number
2016-01-11,5P30CA023108-37
2016-01-11,5P30CA023108-37
2016-01-11,4R01NS052568-10
2016-01-11,4R01CA172398-04
2016-01-11,5P30CA023108-37
2016-01-11,4R24HD041023-15
2016-01-11,4R24HD041023-15
2016-01-11,5R01AI089894-08
2016-01-11,5F30AI109825-03
2016-01-11,1F32GM117814-01
2016-01-11,1I01CX000911-01A2
2016-01-11,5R00HL107642-05
2016-01-11,1R13HD084155-01A1
2016-01-11,4F31AI106357-04
2016-01-11,1R01AI119965-01A1
2016-01-11,1I01CX001012-01A2
2016-01-11,1I01CX001149-01
2016-01-11,3T42OH008429-11S1
2016-01-11,1R01NS096976-01
2016-01-11,5R21AG049277-02
2016-01-11,1R01NS093704-01A1
2016-01-11,4R00HL116778-03
2016-01-11,5R21AI118542-02
2016-01-11,4R01EY015573-10
2016-01-11,1R01HL128181-01A1
2016-01-11,5R00DE022795-05
2016-01-11,1R01NS095842-01
2016-01-11,2I01CX000114-05A2
2016-01-11,4R01HL112808-05
2016-01-11,1R21EB020213-01A1
2016-01-11,5R01CA095004-12
2016-01-11,5R01DC008080-08
2016-01-11,1R01HL127766-01A1
2016-01-11,5P30CA023108-37
2016-01-11,1R01EB020740-01A1
2016-01-11,5R01NR014632-02
2016-01-11,4R13CA165625-05
2016-01-11,4R01HL111372-05
2016-01-11,5U42OD010924-17
2016-01-11,5P30CA023108-37
2016-01-11,5R21EY024434-02
2016-01-11,5F30CA183507-03
2016-01-11,4R01HL115778-04
2016-01-11,1R01HL127041-01A1
2016-01-11,5R01HL121264-03
2016-01-11,1K24AI114996-01A1
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA008748-50
2016-01-11,7R01HL113057-04
2016-01-11,5P30CA008748-50
2016-01-11,5P30CA023108-37
2016-01-11,5P30CA023108-37
2016-01-11,5P30CA008748-50
2016-01-11,1I01CX001021-01A2
2016-01-11,5R01GM113013-02
2016-01-11,1R21AI117013-01A1
2016-01-11,1R21EB021103-01A1
2016-01-11,5P30CA023108-37
2016-01-11,9R44AI122428-02A1
2016-01-11,5P30CA023108-37
2016-01-11,5P30CA008748-50
2016-01-11,1K22AI116803-01
2016-01-11,5R01NS084857-03
